drink_name,is_alcoholic,category,glassType,drink_ingredients,drink_instructions,ingredientMeasures
A1,Alcoholic,Cocktail,Cocktail glass,"Gin, Grand Marnier, Lemon Juice, Grenadine","Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.","['1 3/4 shot ', '1 Shot ', '1/4 Shot', '1/8 Shot']"
ABC,Alcoholic,Shot,Shot glass,"Amaretto, Baileys irish cream, Cognac",Layered in a shot glass.,"['1/3 ', '1/3 ', '1/3 ']"
Ace,Alcoholic,Cocktail,Martini Glass,"Gin, Grenadine, Heavy cream, Milk, Egg White",Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,"['2 shots ', '1/2 shot ', '1/2 shot ', '1/2 shot', '1/2 Fresh']"
ACID,Alcoholic,Shot,Shot glass,"151 proof rum, Wild Turkey",Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,"['1 oz Bacardi ', '1 oz ']"
Adam,Alcoholic,Ordinary Drink,Cocktail glass,"Dark rum, Lemon juice, Grenadine","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","['2 oz ', '1 oz ', '1 tsp ']"
AT&T,Alcoholic,Ordinary Drink,Highball Glass,"Absolut Vodka, Gin, Tonic water","Pour Vodka and Gin over ice, add Tonic and Stir","['1 oz ', '1 oz ', '4 oz ']"
A. J.,Alcoholic,Ordinary Drink,Cocktail glass,"Applejack, Grapefruit juice","Shake ingredients with ice, strain into a cocktail glass, and serve.","['1 1/2 oz ', '1 oz ']"
Avalon,Alcoholic,Ordinary Drink,Highball glass,"Vodka, Pisang Ambon, Apple juice, Lemon juice, Lemonade","Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","['3 parts', '1 part ', '6 parts ', '1 1/2 part ', None]"
Apello,Non alcoholic,Other / Unknown,Collins Glass,"Orange juice, Grapefruit juice, Apple juice, Maraschino cherry",Stirr. Grnish with maraschino cherry.,"['4 cl ', '3 cl ', '1 cl ', '1 ']"
Affair,Alcoholic,Ordinary Drink,Highball glass,"Strawberry schnapps, Orange juice, Cranberry juice, Club soda","Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","['2 oz ', '2 oz ', '2 oz ', None]"
Abilene,Alcoholic,Ordinary Drink,Highball glass,"Dark rum, Peach nectar, Orange juice",Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,"['1 1/2 oz ', '2 oz ', '3 oz ']"
Almeria,Alcoholic,Ordinary Drink,Cocktail glass,"Dark rum, Kahlua, Egg white","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","['2 oz ', '1 oz ', '1 ']"
